0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000002075F8CA390>,ciras,af,,,,,,
<citipy.citipy.City object at 0x000002075F540780>,entre rios,bo,-11.94,76.86,98,76,7.74,1521787068
<citipy.citipy.City object at 0x00000207615C57F0>,sinazongwe,zm,-17.26,75.6,87,0,6.4,1521787068
<citipy.citipy.City object at 0x00000207604724E0>,otofuke,jp,43.02,33.8,59,75,3.36,1521784800
<citipy.citipy.City object at 0x0000020760BD10F0>,saint-pierre,re,48.95,39.2,86,90,5.82,1521784800
<citipy.citipy.City object at 0x0000020760445F28>,kamaishi,jp,39.28,46.4,75,75,8.05,1521784800
<citipy.citipy.City object at 0x0000020760139860>,banjarmasin,id,-3.32,86.67,78,20,7.74,1521787070
<citipy.citipy.City object at 0x000002076015DA58>,payakumbuh,id,-0.23,78.66,87,56,3.27,1521787070
<citipy.citipy.City object at 0x0000020761594240>,isangel,vu,-19.55,78.12,100,56,10.31,1521787071
<citipy.citipy.City object at 0x000002076061E240>,point pedro,lk,9.82,86.85,84,0,2.26,1521787071
<citipy.citipy.City object at 0x000002076069BDD8>,grand gaube,mu,-20.01,84.2,70,40,11.41,1521784800
<citipy.citipy.City object at 0x000002075FF71588>,cayenne,gf,4.94,75.2,88,90,8.97,1521786600
<citipy.citipy.City object at 0x000002076086DC18>,ruatoria,nz,,,,,,
<citipy.citipy.City object at 0x0000020760682668>,labutta,mm,,,,,,
<citipy.citipy.City object at 0x000002075FB1D780>,kousseri,cm,,,,,,
<citipy.citipy.City object at 0x000002075F548B00>,san pedro,bo,-33.68,60.03,86,0,4.38,1521787074
<citipy.citipy.City object at 0x000002075F79C898>,kijaba,az,,,,,,
<citipy.citipy.City object at 0x00000207602AB470>,mul,in,20.07,93.51,33,0,4.61,1521787075
<citipy.citipy.City object at 0x000002075FB042E8>,hire,ci,,,,,,
<citipy.citipy.City object at 0x0000020760059E80>,tucuru,gt,15.3,65.07,98,76,1.92,1521787076
<citipy.citipy.City object at 0x00000207606CB668>,cabo san lucas,mx,22.89,68,28,20,10.2,1521783840
<citipy.citipy.City object at 0x0000020760823240>,ardalstangen,no,61.24,30.2,86,75,6.93,1521784200
<citipy.citipy.City object at 0x0000020761594550>,sola,vu,62.78,12.2,85,0,9.17,1521784200
<citipy.citipy.City object at 0x0000020760199940>,afzalgarh,in,29.49,76.77,77,0,3.6,1521787077
<citipy.citipy.City object at 0x0000020760EA06A0>,lovozero,ru,68.01,10.35,77,0,4.94,1521787078
<citipy.citipy.City object at 0x00000207611B15C0>,homer,us,59.64,30.29,42,1,3.36,1521784380
<citipy.citipy.City object at 0x00000207612511D0>,kahului,us,20.89,69.42,73,40,10.29,1521784560
<citipy.citipy.City object at 0x000002075FB0BF28>,coquimbo,cl,-29.95,53.6,93,0,4.7,1521784800
<citipy.citipy.City object at 0x000002075FA58E10>,powell river,ca,49.84,41,75,90,9.17,1521784800
<citipy.citipy.City object at 0x0000020760FCF320>,verkhnevilyuysk,ru,63.45,24.12,62,68,3.71,1521787080
<citipy.citipy.City object at 0x0000020760FA05C0>,tiksi,ru,71.64,8.1,81,68,4.61,1521787080
<citipy.citipy.City object at 0x000002075F90E518>,sao joao da barra,br,-21.64,81,94,0,14.67,1521787081
<citipy.citipy.City object at 0x0000020760298C88>,mangan,in,27.5,34.83,80,76,1.36,1521787081
